,city,state,name,zip,address,neighborhood,pet.allowed,pet.rent,pet.deposit,pet.fee,has.covered,garage.fee,lot.fee,has.street,covered.fee,has.lot,street.fee,has.garage,college.count,Robert.Morris.University.Illinois,DePaul.University,Roosevelt.University,Public.Elementary..Middle.School,Public.High.School,Private.Elementary..Middle.School,Private.Elementary.Middle..High.School,South.Loop.Elementary.School,Smyth..J.Elementary.School,Phillips.Academy.High.School,Hope.College.Prep.High.School,Village.Leadership.Academy,British.International.School.of.Chicago.South.Loop,shopping.num,base.num,rec.num,air.num,transit.num,rail.num,transit.score,bike.score,sound.score,walk.score,busi.level,air.level,traffic.level,beds,sqft,baths,rent
37,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,666.0,1.0,
38,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,666.0,1.0,
39,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,667.0,1.0,
40,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,674.0,1.0,
41,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,674.0,1.0,
42,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,707.0,1.0,
43,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,711.0,1.0,
44,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,716.0,1.0,
45,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,716.0,1.0,
46,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,716.0,1.0,
47,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,725.0,1.0,
48,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,727.0,1.0,
49,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,727.0,1.0,
